Week,Week Starting,PH,DM,BP,Milestone,Notes
,,,,,,
14,03 April 2017,,SQL Server middleware,SQL Server middleware,CDC sandbox ready,
15,10 April 2017,,,,Study submission running on SQL server,
16,17 April 2017,Assist with middleware (database fixes); SQL Server full install testing,,,,
17,24 April 2017,,,,SQL Server RIF complete,
18,01 May 2017,CDC Install,CDC Install,,CDC Install,
19,08 May 2017,Assist with middleware (database fixes); SQL Server full install testing,Risk analysis statistical requirements,,,
20,15 May 2017,,,,,
21,22 May 2017,,Assist with middleware (database fixes); SQL Server full install testing,SQL Server Data Loader,,
22,29 May 2017,,,,,
23,05 June 2017,,JRI,SQL Server Data Loader,,
24,12 June 2017,Penetration testing,,Risk analysis R scripts,,
25,19 June 2017,JRI Integration,,SQL Server Data Loader,,
26,26 June 2017,Cloud service,Risk analysis middleware,,,
27,03 July 2017,Holiday,,SAHSU RIF data statistical testing,PHR Demo 3rd July,
28,10 July 2017,http://www.geopedia.si/lite.jsp?params=T118_x408210_y126301_s14#T118_F11063:8283_x405158_y123863_s15_b4,GIS Course,,,
29,17 July 2017,More holiday,Holiday,,,
30,24 July 2017,,,,,
31,31 July 2017,"SEER, Halland Test Data",,,,
32,07 August 2017,,,,,
33,14 August 2017,,,,,
34,21 August 2017,Background tile download (cache support),,,,
35,28 August 2017,,,,,
36,04 September 2017,Risk analysis integration,,,,
37,11 September 2017,,,,Risk analysis,
38,18 September 2017,UK COA 2011 tiles,,,,
39,25 September 2017,,,,,
40,02 October 2017,,,,,
41,09 October 2017,SAHSU RIF install,SAHSU RIF install,SAHSU RIF install,,
42,16 October 2017,SAHSU RIF data load,,SAHSU RIF data load,,
43,23 October 2017,,,,SAHSU RIF operational,
44,30 October 2017,,,,,
45,06 November 2017,,,,,
46,13 November 2017,"Big Data, Small Area",,,SAHSU 30th,
47,20 November 2017,,,,,
48,27 November 2017,,,,,
49,04 December 2017,,,,,
50,11 December 2017,,,,,
51,18 December 2017,,,,,
52,25 December 2017,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,2 days/month minimum management,,,Public network demonstrator system,
