year,sahsu_grd_level4,ses,areatri1km,near_dist
1989,01.001.000100.1,4,0,14957.32
1989,01.001.000100.2,2,0,18218.82
1989,01.001.000200.1,4,1,9671.6100000000006
1989,01.001.000300.1,4,0,22603.869999999999
1989,01.002.000300.1,4,0,9127.3899999999994
1989,01.002.000300.2,3,0,9017.0599999999995
1989,01.002.000300.3,2,0,8063.8900000000003
1989,01.002.000300.4,1,0,4047.23
1989,01.002.000300.5,2,0,4126.5500000000002
1989,01.002.000400.1,4,0,8605.5599999999995
1989,01.002.000400.2,4,0,8182.3999999999996
1989,01.002.000400.3,5,1,2407.1100000000001
1989,01.002.000400.4,4,0,10010.5
1989,01.002.000400.5,4,0,7866.79
1989,01.002.000400.6,3,0,6004.1700000000001
1989,01.002.000400.7,3,0,7250.3599999999997
1989,01.002.000400.8,5,0,10727.57
1989,01.002.000400.9,4,0,7438.71
1989,01.002.000500.1,4,0,13127.290000000001
1989,01.002.000500.2,3,0,12087.389999999999
1989,01.002.000500.3,5,0,9808.0799999999999
1989,01.002.000500.4,4,0,13220.360000000001
1989,01.002.000500.5,3,0,11682.879999999999
1989,01.002.000500.6,4,0,10212.540000000001
1989,01.002.000500.7,3,0,12413.16
1989,01.002.000500.8,2,0,11946.42
1989,01.002.000500.9,5,0,11144.049999999999
1989,01.002.000600.1,4,0,11043.32
1989,01.002.000600.2,5,0,5142.9200000000001
1989,01.002.000600.3,3,0,7296.1700000000001
1989,01.002.000600.4,5,0,8422.8600000000006
1989,01.002.000600.5,4,0,10026.610000000001
1989,01.002.000600.6,3,0,9440.8099999999995
1989,01.002.000600.7,1,0,5228.4300000000003
1989,01.002.000600.8,4,0,9151.7399999999998
1989,01.002.000600.9,3,0,8153.4799999999996
1989,01.002.000700.1,5,0,8703.3700000000008
1989,01.002.000700.2,5,0,9544.9400000000005
1989,01.002.000700.3,5,0,5813.1700000000001
1989,01.002.000700.4,5,0,6611.6099999999997
1989,01.002.000700.5,2,0,7672.4099999999999
1989,01.002.000700.6,3,0,7424.3699999999999
1989,01.002.000700.7,4,0,8279.1900000000005
1989,01.002.000800.1,5,0,9225.1499999999996
1989,01.002.000800.2,4,0,8670.1800000000003
1989,01.002.000800.3,3,0,7034.0900000000001
1989,01.002.000800.4,2,0,7297.1300000000001
1989,01.002.000800.5,1,0,8143.0900000000001
1989,01.002.000800.6,5,0,5535.1000000000004
1989,01.002.000800.7,4,0,8408.9300000000003
1989,01.002.000900.1,1,0,7742.7600000000002
1989,01.002.000900.2,1,0,7170.0799999999999
1989,01.002.000900.3,1,0,6749.0100000000002
1989,01.002.000900.4,1,0,6593.8299999999999
1989,01.002.000900.5,4,0,6019.6899999999996
1989,01.002.000900.6,1,0,6179.1300000000001
1989,01.002.000900.7,3,0,5561.7799999999997
1989,01.002.000900.8,3,0,5734.0200000000004
1989,01.002.000900.9,1,0,5722.7200000000003
1989,01.002.001000.1,2,0,6650.1099999999997
1989,01.002.001000.2,3,0,7002.3299999999999
1989,01.002.001000.3,1,0,6112.2600000000002
1989,01.002.001000.4,1,0,6782.5299999999997
1989,01.002.001000.5,3,0,6021.0299999999997
1989,01.002.001000.6,3,0,6010.1700000000001
1989,01.002.001000.7,1,0,5539.4099999999999
1989,01.002.001100.1,4,0,4269.5900000000001
1989,01.002.001100.2,2,0,4598.7600000000002
