year,sahsu_grd_level4,ses,areatri1km,near_dist
1989,01.001.000100.1,4,0,14957.32
1989,01.001.000100.2,2,0,18218.82
1989,01.001.000200.1,4,1,9671.61
1989,01.001.000300.1,4,0,22603.87
1989,01.002.000300.1,4,0,9127.39
1989,01.002.000300.2,3,0,9017.06
1989,01.002.000300.3,2,0,8063.89
1989,01.002.000300.4,1,0,4047.23
1989,01.002.000300.5,2,0,4126.55
1989,01.002.000400.1,4,0,8605.56
1989,01.002.000400.2,4,0,8182.4
1989,01.002.000400.3,5,1,2407.11
1989,01.002.000400.4,4,0,10010.5
1989,01.002.000400.5,4,0,7866.79
1989,01.002.000400.6,3,0,6004.17
1989,01.002.000400.7,3,0,7250.36
1989,01.002.000400.8,5,0,10727.57
1989,01.002.000400.9,4,0,7438.71
1989,01.002.000500.1,4,0,13127.29
1989,01.002.000500.2,3,0,12087.39
1989,01.002.000500.3,5,0,9808.08
1989,01.002.000500.4,4,0,13220.36
1989,01.002.000500.5,3,0,11682.88
1989,01.002.000500.6,4,0,10212.54
1989,01.002.000500.7,3,0,12413.16
1989,01.002.000500.8,2,0,11946.42
1989,01.002.000500.9,5,0,11144.05
1989,01.002.000600.1,4,0,11043.32
1989,01.002.000600.2,5,0,5142.92
1989,01.002.000600.3,3,0,7296.17
1989,01.002.000600.4,5,0,8422.86
1989,01.002.000600.5,4,0,10026.61
1989,01.002.000600.6,3,0,9440.81
1989,01.002.000600.7,1,0,5228.43
1989,01.002.000600.8,4,0,9151.74
1989,01.002.000600.9,3,0,8153.48
1989,01.002.000700.1,5,0,8703.37
1989,01.002.000700.2,5,0,9544.94
1989,01.002.000700.3,5,0,5813.17
1989,01.002.000700.4,5,0,6611.61
1989,01.002.000700.5,2,0,7672.41
1989,01.002.000700.6,3,0,7424.37
1989,01.002.000700.7,4,0,8279.19
1989,01.002.000800.1,5,0,9225.15
1989,01.002.000800.2,4,0,8670.18
1989,01.002.000800.3,3,0,7034.09
1989,01.002.000800.4,2,0,7297.13
1989,01.002.000800.5,1,0,8143.09
1989,01.002.000800.6,5,0,5535.1
1989,01.002.000800.7,4,0,8408.93
1989,01.002.000900.1,1,0,7742.76
1989,01.002.000900.2,1,0,7170.08
1989,01.002.000900.3,1,0,6749.01
1989,01.002.000900.4,1,0,6593.83
1989,01.002.000900.5,4,0,6019.69
1989,01.002.000900.6,1,0,6179.13
1989,01.002.000900.7,3,0,5561.78
1989,01.002.000900.8,3,0,5734.02
1989,01.002.000900.9,1,0,5722.72
1989,01.002.001000.1,2,0,6650.11
1989,01.002.001000.2,3,0,7002.33
1989,01.002.001000.3,1,0,6112.26
1989,01.002.001000.4,1,0,6782.53
1989,01.002.001000.5,3,0,6021.03
1989,01.002.001000.6,3,0,6010.17
1989,01.002.001000.7,1,0,5539.41
1989,01.002.001100.1,4,0,4269.59
1989,01.002.001100.2,2,0,4598.76
1989,01.002.001100.3,2,0,5297.46
1989,01.002.001100.4,3,0,5915.12
1989,01.002.001100.5,3,0,5087.39
1989,01.002.001100.6,3,0,5872.99
1989,01.002.001100.7,2,0,5470.43
1989,01.002.001200.1,1,0,5077.63
1989,01.002.001200.2,2,0,5104.82
1989,01.002.001200.3,2,0,5117.35
1989,01.002.001200.4,1,0,4827.26
1989,01.002.001200.5,2,0,4698.53
1989,01.002.001200.6,2,0,4623.65
