year,age_sex_group,sahsu_grd_level1,sahsu_grd_level2,sahsu_grd_level3,sahsu_grd_level4,icd,total
1989,112,01,01.002,01.002.000700,01.002.000700.3,1550,2
1989,112,01,01.018,01.018.019300,01.018.019300.2,1550,2
1989,113,01,01.008,01.008.006700,01.008.006700.6,1550,2
1989,114,01,01.008,01.008.008700,01.008.008700.3,1550,2
1989,114,01,01.011,01.011.013000,01.011.013000.2,1550,2
1989,114,01,01.008,01.008.010300,01.008.010300.1,1550,2
1989,115,01,01.011,01.011.014700,01.011.014700.3,1550,2
1989,115,01,01.008,01.008.006700,01.008.006700.3,1550,2
1989,115,01,01.008,01.008.006700,01.008.006700.2,1550,2
1989,116,01,01.013,01.013.016200,01.013.016200.2,1550,2
1989,116,01,01.008,01.008.010700,01.008.010700.3,1550,2
1989,116,01,01.002,01.002.000900,01.002.000900.9,1550,2
1989,116,01,01.008,01.008.006800,01.008.006800.4,1550,2
1989,116,01,01.014,01.014.017500,01.014.017500.1,1550,2
1989,116,01,01.008,01.008.010700,01.008.010700.6,1550,2
1989,116,01,01.002,01.002.002100,01.002.002100.1,1550,2
1989,117,01,01.008,01.008.004000,01.008.004000.7,1550,2
1989,117,01,01.008,01.008.005400,01.008.005400.4,1550,2
1989,117,01,01.008,01.008.009700,01.008.009700.6,1550,2
1989,117,01,01.004,01.004.011100,01.004.011100.2,1550,2
1989,117,01,01.002,01.002.001200,01.002.001200.1,1550,2
1989,117,01,01.008,01.008.010500,01.008.010500.2,1550,2
1989,117,01,01.002,01.002.000600,01.002.000600.2,1550,2
1989,117,01,01.017,01.017.019000,01.017.019000.2,1550,2
1989,117,01,01.011,01.011.015000,01.011.015000.6,1550,2
1989,118,01,01.008,01.008.002900,01.008.002900.3,1550,2
1989,118,01,01.008,01.008.007900,01.008.007900.2,1550,2
1989,118,01,01.002,01.002.001300,01.002.001300.5,1550,2
1989,118,01,01.008,01.008.005300,01.008.005300.3,1550,2
1989,119,01,01.002,01.002.000400,01.002.000400.4,1550,2
1989,119,01,01.014,01.014.018600,01.014.018600.6,1550,2
1989,119,01,01.002,01.002.000600,01.002.000600.7,1550,2
1989,119,01,01.002,01.002.000500,01.002.000500.4,1550,2
1989,119,01,01.008,01.008.007800,01.008.007800.4,1550,2
1989,119,01,01.008,01.008.004100,01.008.004100.2,1550,2
1989,119,01,01.002,01.002.002200,01.002.002200.3,1550,2
1989,119,01,01.018,01.018.019100,01.018.019100.5,1550,2
1989,119,01,01.008,01.008.005000,01.008.005000.8,1550,2
1989,119,01,01.008,01.008.003900,01.008.003900.3,1550,2
1989,119,01,01.015,01.015.016900,01.015.016900.2,1550,2
1989,120,01,01.008,01.008.007300,01.008.007300.6,1550,2
1989,120,01,01.004,01.004.011600,01.004.011600.7,1550,2
1989,120,01,01.008,01.008.008600,01.008.008600.2,1550,2
1989,121,01,01.002,01.002.000500,01.002.000500.8,1550,2
1989,121,01,01.003,01.003.003400,01.003.003400.5,1550,2
1989,121,01,01.014,01.014.017800,01.014.017800.5,1550,2
1989,121,01,01.016,01.016.017100,01.016.017100.1,1550,2
1989,211,01,01.008,01.008.008200,01.008.008200.6,1550,2
1989,213,01,01.008,01.008.008300,01.008.008300.7,1550,2
1989,213,01,01.002,01.002.001000,01.002.001000.1,1550,2
1989,214,01,01.014,01.014.017700,01.014.017700.8,1550,2
1989,215,01,01.004,01.004.011700,01.004.011700.3,1550,2
1989,215,01,01.008,01.008.003800,01.008.003800.2,1550,2
1989,215,01,01.009,01.009.002800,01.009.002800.4,1550,2
1989,215,01,01.011,01.011.012800,01.011.012800.1,1550,2
1989,215,01,01.008,01.008.008700,01.008.008700.2,1550,2
1989,215,01,01.008,01.008.008100,01.008.008100.5,1550,2
1989,216,01,01.008,01.008.005500,01.008.005500.3,1550,2
1989,216,01,01.008,01.008.010700,01.008.010700.5,1550,2
1989,216,01,01.008,01.008.006800,01.008.006800.6,1550,2
1989,217,01,01.016,01.016.017000,01.016.017000.2,1550,2
1989,217,01,01.008,01.008.010700,01.008.010700.9,1550,2
1989,217,01,01.002,01.002.000500,01.002.000500.7,1550,2
1989,217,01,01.008,01.008.009600,01.008.009600.8,1550,2
1989,218,01,01.004,01.004.011500,01.004.011500.1,1550,2
1989,218,01,01.002,01.002.001200,01.002.001200.5,1550,2
1989,218,01,01.011,01.011.014400,01.011.014400.3,1550,2
1989,218,01,01.002,01.002.000800,01.002.000800.1,1550,2
1989,218,01,01.018,01.018.019500,01.018.019500.1,1550,2
1989,219,01,01.008,01.008.006400,01.008.006400.6,1550,2
1989,219,01,01.011,01.011.014000,01.011.014000.1,1550,2
1989,219,01,01.008,01.008.006400,01.008.006400.1,1550,2
1989,219,01,01.008,01.008.009200,01.008.009200.8,1550,2
1989,220,01,01.014,01.014.018500,01.014.018500.5,1550,2
1989,220,01,01.001,01.001.000300,01.001.000300.1,1550,2
1989,220,01,01.013,01.013.016500,01.013.016500.2,1550,2
1989,220,01,01.018,01.018.019500,01.018.019500.3,1550,2
1989,220,01,01.002,01.002.000800,01.002.000800.3,1550,2
1989,221,01,01.008,01.008.005200,01.008.005200.4,1550,2
1989,112,01,01.008,01.008.006500,01.008.006500.5,1551,2
1989,115,01,01.008,01.008.006600,01.008.006600.8,1551,2
1989,117,01,01.008,01.008.007900,01.008.007900.3,1551,2
1989,117,01,01.002,01.002.002200,01.002.002200.2,1551,2
1989,117,01,01.011,01.011.013900,01.011.013900.8,1551,2
1989,118,01,01.008,01.008.009000,01.008.009000.2,1551,2
1989,118,01,01.008,01.008.007600,01.008.007600.8,1551,2
1989,119,01,01.008,01.008.004900,01.008.004900.4,1551,2
1989,120,01,01.002,01.002.000800,01.002.000800.3,1551,2
1989,120,01,01.018,01.018.019500,01.018.019500.3,1551,2
1989,120,01,01.014,01.014.018000,01.014.018000.3,1551,2
1989,120,01,01.008,01.008.003900,01.008.003900.7,1551,2
1989,120,01,01.002,01.002.001000,01.002.001000.3,1551,2
1989,121,01,01.011,01.011.015200,01.011.015200.3,1551,2
1989,211,01,01.008,01.008.004400,01.008.004400.4,1551,2
1989,215,01,01.011,01.011.014700,01.011.014700.1,1551,2
1989,215,01,01.008,01.008.010700,01.008.010700.3,1551,2
1989,219,01,01.008,01.008.004200,01.008.004200.5,1551,2
1989,219,01,01.018,01.018.019300,01.018.019300.1,1551,2
1989,219,01,01.002,01.002.000700,01.002.000700.2,1551,2
1989,220,01,01.002,01.002.000600,01.002.000600.6,1551,2
1989,220,01,01.018,01.018.019100,01.018.019100.4,1551,2
1989,221,01,01.004,01.004.011100,01.004.011100.1,1551,2
1989,114,01,01.008,01.008.007800,01.008.007800.3,1552,2
1989,115,01,01.014,01.014.018100,01.014.018100.1,1552,2
1989,115,01,01.008,01.008.006700,01.008.006700.3,1552,2
1989,117,01,01.003,01.003.003400,01.003.003400.5,1552,2
1989,117,01,01.007,01.007.012200,01.007.012200.5,1552,2
1989,117,01,01.011,01.011.014100,01.011.014100.1,1552,2
1989,117,01,01.008,01.008.003700,01.008.003700.8,1552,2
1989,119,01,01.014,01.014.018100,01.014.018100.3,1552,2
1989,120,01,01.008,01.008.007700,01.008.007700.5,1552,2
1989,121,01,01.008,01.008.004100,01.008.004100.1,1552,2
1989,121,01,01.011,01.011.013000,01.011.013000.2,1552,2
1989,213,01,01.009,01.009.002700,01.009.002700.3,1552,2
1989,216,01,01.008,01.008.008600,01.008.008600.5,1552,2
1989,216,01,01.014,01.014.017300,01.014.017300.5,1552,2
1989,217,01,01.008,01.008.005700,01.008.005700.7,1552,2
1989,217,01,01.013,01.013.016300,01.013.016300.2,1552,2
1989,217,01,01.002,01.002.001800,01.002.001800.4,1552,2
1989,218,01,01.008,01.008.005700,01.008.005700.4,1552,2
1989,220,01,01.008,01.008.007700,01.008.007700.6,1552,2
1989,220,01,01.016,01.016.017100,01.016.017100.1,1552,2
1989,220,01,01.002,01.002.000500,01.002.000500.8,1552,2
1989,221,01,01.016,01.016.017000,01.016.017000.1,1552,2
1989,221,01,01.002,01.002.000500,01.002.000500.6,1552,2
1989,221,01,01.008,01.008.008800,01.008.008800.6,1552,2
1989,115,01,01.008,01.008.004000,01.008.004000.5,1620,2
1989,116,01,01.008,01.008.006100,01.008.006100.5,1620,2
1989,117,01,01.008,01.008.009600,01.008.009600.7,1620,2
1989,117,01,01.011,01.011.013800,01.011.013800.8,1620,2
1989,117,01,01.008,01.008.003700,01.008.003700.9,1620,2
1989,118,01,01.002,01.002.000600,01.002.000600.8,1620,2
1989,118,01,01.018,01.018.019200,01.018.019200.1,1620,2
1989,119,01,01.008,01.008.004600,01.008.004600.6,1620,2
1989,119,01,01.008,01.008.004000,01.008.004000.6,1620,2
1989,212,01,01.008,01.008.007700,01.008.007700.4,1620,2
1989,217,01,01.008,01.008.008900,01.008.008900.5,1620,2
1989,217,01,01.009,01.009.003100,01.009.003100.1,1620,2
1989,217,01,01.008,01.008.004100,01.008.004100.6,1620,2
1989,218,01,01.008,01.008.003600,01.008.003600.1,1620,2
1989,219,01,01.011,01.011.014800,01.011.014800.1,1620,2
1989,112,01,01.008,01.008.008500,01.008.008500.8,1622,2
1989,113,01,01.011,01.011.015800,01.011.015800.2,1622,2
1989,113,01,01.008,01.008.005400,01.008.005400.4,1622,2
1989,113,01,01.002,01.002.000700,01.002.000700.7,1622,2
1989,113,01,01.018,01.018.019400,01.018.019400.3,1622,2
1989,113,01,01.008,01.008.004800,01.008.004800.7,1622,2
1989,113,01,01.002,01.002.000900,01.002.000900.7,1622,2
1989,114,01,01.008,01.008.007600,01.008.007600.5,1622,2
1989,114,01,01.008,01.008.004500,01.008.004500.5,1622,2
1989,114,01,01.014,01.014.017900,01.014.017900.2,1622,2
1989,114,01,01.013,01.013.016600,01.013.016600.6,1622,2
1989,114,01,01.002,01.002.001100,01.002.001100.6,1622,2
1989,114,01,01.008,01.008.007600,01.008.007600.1,1622,2
1989,114,01,01.011,01.011.013700,01.011.013700.6,1622,2
1989,115,01,01.011,01.011.013300,01.011.013300.7,1622,2
1989,115,01,01.014,01.014.018400,01.014.018400.5,1622,2
1989,115,01,01.014,01.014.017800,01.014.017800.3,1622,2
1989,115,01,01.008,01.008.006500,01.008.006500.3,1622,2
1989,115,01,01.008,01.008.008800,01.008.008800.6,1622,2
1989,115,01,01.013,01.013.016500,01.013.016500.1,1622,2
