WKT,PERIMETER,LEVEL4,LEVEL2,LEVEL1,LEVEL3,XCentroid,YCentroid
"POINT (107776.33551723306 598907.25221160159)",100711.23632600000,01.001.000100.1,01.001,01,01.001.000100,109268.52381300001,589954.12243700004
"POINT (116324.44956509027 588346.2288739098)",25080.64509410000,01.001.000100.2,01.001,01,01.001.000100,117321.65589700000,587349.02254200005
"POINT (138713.14479365986 589158.45427646628)",143821.09447099999,01.001.000200.1,01.001,01,01.001.000200,130133.06209300000,592142.83086800005
"POINT (132457.90241900948 617155.20841459208)",7642.51180858000,01.001.000300.1,01.001,01,01.001.000300,126116.10216200000,614543.87889699999
"POINT (94936.795308500004 593308.49602812796)",17163.50954700000,01.002.000300.1,01.002,01,01.002.000300,94936.79530850000,592245.62484399998
"POINT (96776.198361222661 590990.87900819478)",14601.21936790000,01.002.000300.2,01.002,01,01.002.000300,96864.77095989999,592142.32279100001
"POINT (92644.128015399998 589559.97213954933)",14931.48413700000,01.002.000300.3,01.002,01,01.002.000300,92644.12801540000,590534.27072499995
"POINT (96140.596609700006 587215.24656899995)",22358.95865360000,01.002.000300.4,01.002,01,01.002.000300,96140.59660970001,587215.24656899995
"POINT (92330.851745558713 586730.21305541857)",20861.28088890000,01.002.000300.5,01.002,01,01.002.000300,92950.85993630000,586021.63226600003
"POINT (93920.153379129828 574926.67302952998)",5743.46923883000,01.002.000400.1,01.002,01,01.002.000400,93582.13602330000,574895.94417899998
"POINT (94856.994483899995 574805.142554)",4151.18140242000,01.002.000400.2,01.002,01,01.002.000400,94856.99448390000,574805.14255400002
"POINT (92411.473021453479 582675.72701980523)",30312.94952250000,01.002.000400.3,01.002,01,01.002.000400,94182.92499499999,581524.28323700000
"POINT (89775.05479227849 577695.07890503202)",27711.83692390000,01.002.000400.4,01.002,01,01.002.000400,87737.88502269999,577429.36110900005
"POINT (91856.702473610043 575500.83545563044)",12569.58161600000,01.002.000400.5,01.002,01,01.002.000400,91948.88902520000,576391.97212100006
"POINT (93082.901134980202 577372.5389667002)",7139.83952835000,01.002.000400.6,01.002,01,01.002.000400,93513.10504240000,577679.82747200003
"POINT (93487.802536260264 576297.91743812)",8094.14719193000,01.002.000400.7,01.002,01,01.002.000400,94040.92184580000,576175.00203600002
"POINT (87845.82487258139 575123.87558896805)",15447.46468200000,01.002.000400.8,01.002,01,01.002.000400,88554.40566200001,575389.59338500001
"POINT (102511.66019638663 594337.27944761328)",15963.13390410000,01.002.000500.1,01.002,01,01.002.000500,102068.79720299999,594780.14244099997
"POINT (98541.863578649412 595072.66614470934)",11632.94627350000,01.002.000500.2,01.002,01,01.002.000500,99516.16216410000,594718.37575000001
"POINT (99379.015888486625 592157.03394929075)",12377.68483430000,01.002.000500.3,01.002,01,01.002.000500,98936.15289509999,592511.32434399996
"POINT (104346.603027 593373.650595)",10691.39017830000,01.002.000500.4,01.002,01,01.002.000500,104346.60302700000,593373.65059500001
"POINT (103146.15311 592366.20922099997)",3530.55480220000,01.002.000500.5,01.002,01,01.002.000500,103146.15311000000,592366.20922099997
"POINT (101501.101639 591736.59926799999)",6743.24284273000,01.002.000500.6,01.002,01,01.002.000500,101501.10163900000,591736.59926799999
"POINT (104847.321042 591815.26182599994)",4497.34818881000,01.002.000500.7,01.002,01,01.002.000500,104847.32104200000,591815.26182599994
"POINT (103948.653918 592034.542278)",3393.79899094000,01.002.000500.8,01.002,01,01.002.000500,103948.65391800000,592034.54227800004
"POINT (103349.699252 591493.97331)",4914.95574566000,01.002.000500.9,01.002,01,01.002.000500,103349.69925200001,591493.97331000003
"POINT (104029.33174 590687.339181)",10202.93257690000,01.002.000600.1,01.002,01,01.002.000600,104029.33173999999,590687.33918100002
"POINT (98786.478853422668 589608.28257893305)",23734.75750440000,01.002.000600.2,01.002,01,01.002.000600,98875.05145210000,587393.96761199995
"POINT (100574.626824 588805.46978799999)",11829.07814060000,01.002.000600.3,01.002,01,01.002.000600,100574.62682400001,588805.46978799999
"POINT (101549.852533 589452.97808899998)",12200.48601440000,01.002.000600.4,01.002,01,01.002.000600,101549.85253300000,589452.97808899998
"POINT (103511.680202 589742.130337)",5800.93237594000,01.002.000600.5,01.002,01,01.002.000600,103511.68020200000,589742.13033700001
"POINT (103560.029993 588742.03390399995)",7750.06091688000,01.002.000600.6,01.002,01,01.002.000600,103560.02999300000,588742.03390399995
"POINT (99809.703233922672 585522.28755287209)",11873.16191300000,01.002.000600.7,01.002,01,01.002.000600,99898.27583260000,586585.15873699996
"POINT (103893.788376 587693.96927899995)",6660.92622931000,01.002.000600.8,01.002,01,01.002.000600,103893.78837600000,587693.96927899995
"POINT (102877.044488 587452.142479)",4024.86823205000,01.002.000600.9,01.002,01,01.002.000600,102877.04448800000,587452.14247900003
"POINT (103902.525763 586679.287199)",4257.67577147000,01.002.000700.1,01.002,01,01.002.000700,103902.52576300000,586679.28719900001
"POINT (105022.9852 586096.13684)",10155.76130480000,01.002.000700.2,01.002,01,01.002.000700,105022.98520000000,586096.13684000005
"POINT (101200.791511 585639.19953099999)",7090.63630953000,01.002.000700.3,01.002,01,01.002.000700,101200.79151100000,585639.19953099999
"POINT (102015.378286 585773.556295)",5127.02237771000,01.002.000700.4,01.002,01,01.002.000700,102015.37828600001,585773.55629500002
"POINT (102865.907953 586467.20908599999)",4513.25488882000,01.002.000700.5,01.002,01,01.002.000700,102865.90795300000,586467.20908599999
