SAHSU_GRD_LEVEL2,AREANAME,GID,GEOGRAPHIC_CENTROID
"01.001","Abellan","1","{""type"":""Point"",""coordinates"":[-6.36448,55.1846]}"
"01.002","Cobley","2","{""type"":""Point"",""coordinates"":[-6.72944,54.9861]}"
"01.003","Beale","3","{""type"":""Point"",""coordinates"":[-7.30273,54.838]}"
"01.004","Hambly","4","{""type"":""Point"",""coordinates"":[-6.49753,54.8432]}"
"01.005","Briggs","5","{""type"":""Point"",""coordinates"":[-6.12712,54.9266]}"
"01.006","Andersson","6","{""type"":""Point"",""coordinates"":[-5.69843,54.8976]}"
"01.007","Hodgson","7","{""type"":""Point"",""coordinates"":[-6.89722,54.0868]}"
"01.008","Jarup","8","{""type"":""Point"",""coordinates"":[-6.54373,54.4007]}"
"01.009","Elliot","9","{""type"":""Point"",""coordinates"":[-6.11424,54.4435]}"
"01.011","Clarke","10","{""type"":""Point"",""coordinates"":[-6.23843,54.1628]}"
"01.012","Tirado","11","{""type"":""Point"",""coordinates"":[-5.7787,54.2167]}"
"01.013","Kozniewska","12","{""type"":""Point"",""coordinates"":[-6.52542,53.8403]}"
"01.014","Stordy","13","{""type"":""Point"",""coordinates"":[-7.24669,53.2996]}"
"01.015","Maitland","14","{""type"":""Point"",""coordinates"":[-6.68411,53.6052]}"
"01.016","De Hoogh","15","{""type"":""Point"",""coordinates"":[-5.5764,53.706]}"
"01.017","Savigny","16","{""type"":""Point"",""coordinates"":[-6.99829,53.0299]}"
"01.018","Cockings","17","{""type"":""Point"",""coordinates"":[-5.93618,53.1515]}"
