GEOLEVEL_ID,AREAID,NUM_ADJACENCIES,ADJACENCY_LIST
"2","01.001","3","01.002,01.004,01.005"
"2","01.002","3","01.001,01.003,01.004"
"2","01.003","3","01.002,01.004,01.008"
"2","01.004","6","01.001,01.002,01.003,01.005,01.008,01.009"
"2","01.005","4","01.001,01.004,01.006,01.009"
"2","01.006","2","01.005,01.009"
"2","01.007","4","01.008,01.011,01.013,01.015"
"2","01.008","5","01.003,01.004,01.007,01.009,01.011"
"2","01.009","6","01.004,01.005,01.006,01.008,01.011,01.012"
"2","01.011","5","01.007,01.008,01.009,01.012,01.013"
"2","01.012","4","01.009,01.011,01.013,01.016"
"2","01.013","5","01.007,01.011,01.012,01.015,01.016"
"2","01.014","2","01.015,01.017"
"2","01.015","6","01.007,01.013,01.014,01.016,01.017,01.018"
"2","01.016","4","01.012,01.013,01.015,01.018"
"2","01.017","3","01.014,01.015,01.018"
"2","01.018","3","01.015,01.016,01.017"
"3","01.001.000100","10","01.001.000200,01.002.000500,01.002.000600,01.002.000700,01.002.000800,01.002.000900,01.002.001300,01.002.001500,01.004.011100,01.005.002400"
"3","01.001.000200","3","01.001.000100,01.001.000300,01.005.002400"
"3","01.001.000300","1","01.001.000200"
"3","01.002.000300","4","01.002.000400,01.002.000500,01.002.000600,01.002.001900"
"3","01.002.000400","4","01.002.000300,01.002.001600,01.002.001700,01.002.001900"
"3","01.002.000500","3","01.001.000100,01.002.000300,01.002.000600"
"3","01.002.000600","7","01.001.000100,01.002.000300,01.002.000500,01.002.000700,01.002.000800,01.002.001100,01.002.001900"
"3","01.002.000700","3","01.001.000100,01.002.000600,01.002.000800"
"3","01.002.000800","6","01.001.000100,01.002.000600,01.002.000700,01.002.000900,01.002.001000,01.002.001100"
"3","01.002.000900","5","01.001.000100,01.002.000800,01.002.001000,01.002.001200,01.002.001300"
"3","01.002.001000","4","01.002.000800,01.002.000900,01.002.001100,01.002.001200"
"3","01.002.001100","7","01.002.000600,01.002.000800,01.002.001000,01.002.001200,01.002.001400,01.002.001600,01.002.001900"
"3","01.002.001200","5","01.002.000900,01.002.001000,01.002.001100,01.002.001300,01.002.001400"
"3","01.002.001300","5","01.001.000100,01.002.000900,01.002.001200,01.002.001400,01.002.001500"
"3","01.002.001400","5","01.002.001100,01.002.001200,01.002.001300,01.002.001500,01.002.001600"
"3","01.002.001500","6","01.001.000100,01.002.001300,01.002.001400,01.002.001600,01.002.001800,01.004.011100"
"3","01.002.001600","7","01.002.000400,01.002.001100,01.002.001400,01.002.001500,01.002.001700,01.002.001800,01.002.001900"
"3","01.002.001700","5","01.002.000400,01.002.001600,01.002.001800,01.002.001900,01.002.002000"
"3","01.002.001800","6","01.002.001500,01.002.001600,01.002.001700,01.002.001900,01.002.002100,01.004.011100"
"3","01.002.001900","9","01.002.000300,01.002.000400,01.002.000600,01.002.001100,01.002.001600,01.002.001700,01.002.001800,01.002.002000,01.002.002100"
"3","01.002.002000","5","01.002.001700,01.002.001900,01.002.002100,01.002.002200,01.003.003400"
"3","01.002.002100","6","01.002.001800,01.002.001900,01.002.002000,01.002.002200,01.002.002300,01.004.011100"
"3","01.002.002200","5","01.002.002000,01.002.002100,01.002.002300,01.003.003400,01.004.011200"
"3","01.002.002300","4","01.002.002100,01.002.002200,01.004.011100,01.004.011200"
"3","01.003.003300","2","01.003.003400,01.008.003500"
"3","01.003.003400","5","01.002.002000,01.002.002200,01.003.003300,01.004.011200,01.008.003500"
"3","01.004.011100","7","01.001.000100,01.002.001500,01.002.001800,01.002.002100,01.002.002300,01.004.011200,01.005.002400"
"3","01.004.011200","8","01.002.002200,01.002.002300,01.003.003400,01.004.011100,01.004.011300,01.004.011800,01.005.002400,01.008.003500"
"3","01.004.011300","5","01.004.011200,01.004.011400,01.004.011800,01.004.011900,01.005.002400"
"3","01.004.011400","4","01.004.011300,01.004.011500,01.004.011800,01.004.011900"
"3","01.004.011500","5","01.004.011400,01.004.011600,01.004.011700,01.004.011800,01.004.011900"
"3","01.004.011600","3","01.004.011500,01.004.011700,01.004.011900"
"3","01.004.011700","4","01.004.011500,01.004.011600,01.004.011800,01.004.011900"
"3","01.004.011800","8","01.004.011200,01.004.011300,01.004.011400,01.004.011500,01.004.011700,01.004.011900,01.008.003500,01.008.003600"
"3","01.004.011900","9","01.004.011300,01.004.011400,01.004.011500,01.004.011600,01.004.011700,01.004.011800,01.005.002400,01.008.003600,01.009.002700"
"3","01.005.002400","10","01.001.000100,01.001.000200,01.004.011100,01.004.011200,01.004.011300,01.004.011900,01.006.002500,01.006.002600,01.006.002700,01.009.002700"
"3","01.006.002500","4","01.005.002400,01.006.002600,01.009.002700,01.009.002800"
"3","01.006.002600","7","01.005.002400,01.006.002500,01.006.002700,01.009.002800,01.009.002900,01.009.003000,01.009.003200"
"3","01.006.002700","2","01.005.002400,01.006.002600"
"3","01.007.012000","3","01.007.012100,01.007.012300,01.008.003500"
"3","01.007.012100","3","01.007.012000,01.007.012200,01.007.012300"
"3","01.007.012200","2","01.007.012100,01.007.012300"
"3","01.007.012300","7","01.007.012000,01.007.012100,01.007.012200,01.007.012400,01.007.012500,01.008.003500,01.008.011000"
"3","01.007.012400","5","01.007.012300,01.007.012500,01.008.011000,01.011.012600,01.013.016100"
"3","01.007.012500","5","01.007.012300,01.007.012400,01.013.016100,01.013.016200,01.015.016200"
"3","01.008.001000","5","01.008.009000,01.008.009500,01.008.009600,01.008.010100,01.008.010300"
"3","01.008.002900","7","01.008.006200,01.008.006300,01.008.006800,01.008.006900,01.008.007100,01.008.007400,01.008.007500"
"3","01.008.003500","20","01.003.003300,01.003.003400,01.004.011200,01.004.011800,01.007.012000,01.007.012300,01.008.003600,01.008.003700,01.008.003800,01.008.004000,01.008.004100,01.008.005100,01.008.005200,01.008.005300,01.008.005400,01.008.005600,01.008.005900,01.008.006000,01.008.009100,01.008.011000"
"3","01.008.003600","8","01.004.011800,01.004.011900,01.008.003500,01.008.003700,01.008.003800,01.008.003900,01.008.004400,01.009.002700"
"3","01.008.003700","3","01.008.003500,01.008.003600,01.008.003800"
"3","01.008.003800","5","01.008.003500,01.008.003600,01.008.003700,01.008.003900,01.008.004000"
"3","01.008.003900","6","01.008.003600,01.008.003800,01.008.004000,01.008.004200,01.008.004300,01.008.004400"
"3","01.008.004000","6","01.008.003500,01.008.003800,01.008.003900,01.008.004100,01.008.004200,01.008.004600"
"3","01.008.004100","7","01.008.003500,01.008.004000,01.008.004200,01.008.004600,01.008.005600,01.008.005900,01.008.006100"
"3","01.008.004200","5","01.008.003900,01.008.004000,01.008.004100,01.008.004300,01.008.004600"
"3","01.008.004300","6","01.008.003900,01.008.004200,01.008.004400,01.008.004500,01.008.004600,01.008.004700"
"3","01.008.004400","6","01.008.003600,01.008.003900,01.008.004300,01.008.004500,01.008.004900,01.009.002700"
"3","01.008.004500","6","01.008.004300,01.008.004400,01.008.004600,01.008.004700,01.008.004800,01.008.004900"
"3","01.008.004600","8","01.008.004000,01.008.004100,01.008.004200,01.008.004300,01.008.004500,01.008.004700,01.008.005900,01.008.006100"
"3","01.008.004700","6","01.008.004300,01.008.004500,01.008.004600,01.008.004800,01.008.006100,01.008.006200"
"3","01.008.004800","6","01.008.004500,01.008.004700,01.008.004900,01.008.005000,01.008.006100,01.008.006200"
"3","01.008.004900","5","01.008.004400,01.008.004500,01.008.004800,01.008.005000,01.009.002700"
"3","01.008.005000","6","01.008.004800,01.008.004900,01.008.006200,01.008.006300,01.008.006400,01.009.002700"
"3","01.008.005100","3","01.008.003500,01.008.005200,01.008.006000"
"3","01.008.005200","4","01.008.003500,01.008.005100,01.008.005300,01.008.006000"
"3","01.008.005300","6","01.008.003500,01.008.005200,01.008.005400,01.008.005500,01.008.006000,01.008.007700"
"3","01.008.005400","5","01.008.003500,01.008.005300,01.008.005500,01.008.005600,01.008.005700"
"3","01.008.005500","6","01.008.005300,01.008.005400,01.008.005700,01.008.006000,01.008.007700,01.008.007800"
"3","01.008.005600","6","01.008.003500,01.008.004100,01.008.005400,01.008.005700,01.008.005800,01.008.005900"
"3","01.008.005700","6","01.008.005400,01.008.005500,01.008.005600,01.008.005800,01.008.007800,01.008.007900"
"3","01.008.005800","6","01.008.005600,01.008.005700,01.008.005900,01.008.007200,01.008.007900,01.008.008000"
"3","01.008.005900","9","01.008.003500,01.008.004100,01.008.004600,01.008.005600,01.008.005800,01.008.006100,01.008.006700,01.008.007200,01.008.008000"
"3","01.008.006000","12","01.008.003500,01.008.005100,01.008.005200,01.008.005300,01.008.005500,01.008.006100,01.008.006700,01.008.006800,01.008.007700,01.008.008200,01.008.008400,01.008.009100"
"3","01.008.006100","9","01.008.004100,01.008.004600,01.008.004700,01.008.004800,01.008.005900,01.008.006000,01.008.006200,01.008.006700,01.008.006800"
"3","01.008.006200","7","01.008.002900,01.008.004700,01.008.004800,01.008.005000,01.008.006100,01.008.006300,01.008.006800"
"3","01.008.006300","6","01.008.002900,01.008.005000,01.008.006200,01.008.006400,01.008.006600,01.008.006900"
"3","01.008.006400","6","01.008.005000,01.008.006300,01.008.006500,01.008.006600,01.008.006900,01.009.002700"
"3","01.008.006500","4","01.008.006400,01.008.006600,01.008.007000,01.009.002700"
"3","01.008.006600","6","01.008.006300,01.008.006400,01.008.006500,01.008.006900,01.008.007000,01.008.007100"
"3","01.008.006700","7","01.008.005900,01.008.006000,01.008.006100,01.008.006800,01.008.007200,01.008.007300,01.008.007400"
"3","01.008.006800","7","01.008.002900,01.008.006000,01.008.006100,01.008.006200,01.008.006700,01.008.007400,01.008.007500"
"3","01.008.006900","6","01.008.002900,01.008.006300,01.008.006400,01.008.006600,01.008.007100,01.008.007500"
