SAHSU_GRD_LEVEL3,AREANAME,GID,GEOGRAPHIC_CENTROID
"01.001.000100","01.001.000100","1","{""type"":""Point"",""coordinates"":[-6.55624996970568,55.1360758563861]}"
"01.001.000200","01.001.000200","2","{""type"":""Point"",""coordinates"":[-6.26176087810988,55.1602420967354]}"
"01.001.000300","01.001.000300","3","{""type"":""Point"",""coordinates"":[-6.32639905852298,55.3028990692901]}"
"01.002.000300","01.002.000300","4","{""type"":""Point"",""coordinates"":[-6.81088986409075,55.0871111223312]}"
"01.002.000400","01.002.000400","5","{""type"":""Point"",""coordinates"":[-6.86038439625905,55.0080345061228]}"
"01.002.000500","01.002.000500","6","{""type"":""Point"",""coordinates"":[-6.67527801252548,55.1460705289292]}"
"01.002.000600","01.002.000600","7","{""type"":""Point"",""coordinates"":[-6.67141897481753,55.1010849455832]}"
"01.002.000700","01.002.000700","8","{""type"":""Point"",""coordinates"":[-6.65454144677811,55.07955616981]}"
"01.002.000800","01.002.000800","9","{""type"":""Point"",""coordinates"":[-6.65456426957735,55.0657199836314]}"
"01.002.000900","01.002.000900","10","{""type"":""Point"",""coordinates"":[-6.62841933303354,55.0508493047872]}"
"01.002.001000","01.002.001000","11","{""type"":""Point"",""coordinates"":[-6.65676128247702,55.0526966725129]}"
"01.002.001100","01.002.001100","12","{""type"":""Point"",""coordinates"":[-6.71150985235423,55.0219046993679]}"
"01.002.001200","01.002.001200","13","{""type"":""Point"",""coordinates"":[-6.64769967776369,55.0340799598304]}"
"01.002.001300","01.002.001300","14","{""type"":""Point"",""coordinates"":[-6.63430463959208,55.0121881630776]}"
"01.002.001400","01.002.001400","15","{""type"":""Point"",""coordinates"":[-6.68396618005236,55.0023056294661]}"
"01.002.001500","01.002.001500","16","{""type"":""Point"",""coordinates"":[-6.62209657037319,54.982422936085]}"
"01.002.001600","01.002.001600","17","{""type"":""Point"",""coordinates"":[-6.70891250182546,54.9854605617629]}"
"01.002.001700","01.002.001700","18","{""type"":""Point"",""coordinates"":[-6.77645110578394,54.946775326411]}"
"01.002.001800","01.002.001800","19","{""type"":""Point"",""coordinates"":[-6.67008141198951,54.943158407885]}"
"01.002.001900","01.002.001900","20","{""type"":""Point"",""coordinates"":[-6.72600811284597,54.9758105874327]}"
"01.002.002000","01.002.002000","21","{""type"":""Point"",""coordinates"":[-6.7212786006617,54.877070059026]}"
"01.002.002100","01.002.002100","22","{""type"":""Point"",""coordinates"":[-6.63503606664771,54.9109992143417]}"
"01.002.002200","01.002.002200","23","{""type"":""Point"",""coordinates"":[-6.63676543772237,54.8602544899133]}"
"01.002.002300","01.002.002300","24","{""type"":""Point"",""coordinates"":[-6.58520602765168,54.8632321277344]}"
"01.003.003300","01.003.003300","25","{""type"":""Point"",""coordinates"":[-7.38981360880963,54.8345580024674]}"
"01.003.003400","01.003.003400","26","{""type"":""Point"",""coordinates"":[-6.82528058611012,54.8383766356745]}"
"01.004.011100","01.004.011100","27","{""type"":""Point"",""coordinates"":[-6.53482075918044,54.9311834402614]}"
"01.004.011200","01.004.011200","28","{""type"":""Point"",""coordinates"":[-6.50354099809949,54.8172983532899]}"
"01.004.011300","01.004.011300","29","{""type"":""Point"",""coordinates"":[-6.47794727439604,54.7626732923526]}"
"01.004.011400","01.004.011400","30","{""type"":""Point"",""coordinates"":[-6.51753063043518,54.7330736173892]}"
"01.004.011500","01.004.011500","31","{""type"":""Point"",""coordinates"":[-6.51245326192558,54.7113626777704]}"
"01.004.011600","01.004.011600","32","{""type"":""Point"",""coordinates"":[-6.49065181961408,54.69670357956]}"
"01.004.011700","01.004.011700","33","{""type"":""Point"",""coordinates"":[-6.51653577884512,54.6769130792623]}"
"01.004.011800","01.004.011800","34","{""type"":""Point"",""coordinates"":[-6.57950439507822,54.6928799925165]}"
"01.004.011900","01.004.011900","35","{""type"":""Point"",""coordinates"":[-6.43842558654808,54.7014312895853]}"
"01.005.002400","01.005.002400","36","{""type"":""Point"",""coordinates"":[-6.12712384427312,54.9266239071054]}"
"01.006.002500","01.006.002500","37","{""type"":""Point"",""coordinates"":[-6.01883432047064,54.7181590910536]}"
"01.006.002600","01.006.002600","38","{""type"":""Point"",""coordinates"":[-5.81946540507168,54.8016378973002]}"
"01.006.002700","01.006.002700","39","{""type"":""Point"",""coordinates"":[-5.49945204181036,54.9749204031761]}"
"01.007.012000","01.007.012000","40","{""type"":""Point"",""coordinates"":[-7.03421199153455,54.4261746026634]}"
"01.007.012100","01.007.012100","41","{""type"":""Point"",""coordinates"":[-7.02365466366361,54.3467926962153]}"
"01.007.012200","01.007.012200","42","{""type"":""Point"",""coordinates"":[-7.00991238249622,54.3370369363472]}"
"01.007.012300","01.007.012300","43","{""type"":""Point"",""coordinates"":[-6.98134854131619,54.3092372068855]}"
"01.007.012400","01.007.012400","44","{""type"":""Point"",""coordinates"":[-6.78083134855278,54.2049974988686]}"
"01.007.012500","01.007.012500","45","{""type"":""Point"",""coordinates"":[-6.93069010394201,53.988555406646]}"
"01.008.001000","01.008.001000","46","{""type"":""Point"",""coordinates"":[-6.49041496366746,54.4242724328612]}"
"01.008.002900","01.008.002900","47","{""type"":""Point"",""coordinates"":[-6.46546707017977,54.5169415806771]}"
"01.008.003500","01.008.003500","48","{""type"":""Point"",""coordinates"":[-6.77946325189651,54.4578419741784]}"
"01.008.003600","01.008.003600","49","{""type"":""Point"",""coordinates"":[-6.45003180925284,54.6398965637241]}"
"01.008.003700","01.008.003700","50","{""type"":""Point"",""coordinates"":[-6.57083472340041,54.6139835925788]}"
