area_id,gid,gid_rowindex,username,study_id,inv_id,band_id,genders,direct_standardisation,adjusted,observed,expected,lower95,upper95,relative_risk,smoothed_relative_risk,posterior_probability,posterior_probability_upper95,posterior_probability_lower95,residual_relative_risk,residual_rr_lower95,residual_rr_upper95,smoothed_smr,smoothed_smr_lower95,smoothed_smr_upper95
01.001.000100.1,1,0000000001_0000000001,pch,1,1,1,1,0,0,38,,,,,,,,,,,,,,
01.001.000100.1,1,0000000001_0000000002,pch,1,1,1,2,0,0,36,,,,,,,,,,,,,,
01.001.000100.1,1,0000000001_0000000003,pch,1,1,1,3,0,0,74,,,,,,,,,,,,,,
01.001.000100.2,2,0000000002_0000000001,pch,1,1,2,1,0,0,40,,,,,,,,,,,,,,
01.001.000100.2,2,0000000002_0000000002,pch,1,1,2,2,0,0,18,,,,,,,,,,,,,,
01.001.000100.2,2,0000000002_0000000003,pch,1,1,2,3,0,0,58,,,,,,,,,,,,,,
01.001.000200.1,3,0000000003_0000000001,pch,1,1,3,1,0,0,34,,,,,,,,,,,,,,
01.001.000200.1,3,0000000003_0000000002,pch,1,1,3,2,0,0,12,,,,,,,,,,,,,,
01.001.000200.1,3,0000000003_0000000003,pch,1,1,3,3,0,0,46,,,,,,,,,,,,,,
01.001.000300.1,4,0000000004_0000000001,pch,1,1,4,1,0,0,34,,,,,,,,,,,,,,
01.001.000300.1,4,0000000004_0000000002,pch,1,1,4,2,0,0,32,,,,,,,,,,,,,,
01.001.000300.1,4,0000000004_0000000003,pch,1,1,4,3,0,0,66,,,,,,,,,,,,,,
01.002.000300.1,5,0000000005_0000000001,pch,1,1,5,1,0,0,42,,,,,,,,,,,,,,
01.002.000300.1,5,0000000005_0000000002,pch,1,1,5,2,0,0,20,,,,,,,,,,,,,,
01.002.000300.1,5,0000000005_0000000003,pch,1,1,5,3,0,0,62,,,,,,,,,,,,,,
01.002.000300.2,6,0000000006_0000000001,pch,1,1,6,1,0,0,32,,,,,,,,,,,,,,
01.002.000300.2,6,0000000006_0000000002,pch,1,1,6,2,0,0,14,,,,,,,,,,,,,,
01.002.000300.2,6,0000000006_0000000003,pch,1,1,6,3,0,0,46,,,,,,,,,,,,,,
01.002.000300.3,7,0000000007_0000000001,pch,1,1,7,1,0,0,24,,,,,,,,,,,,,,
01.002.000300.3,7,0000000007_0000000002,pch,1,1,7,2,0,0,8,,,,,,,,,,,,,,
01.002.000300.3,7,0000000007_0000000003,pch,1,1,7,3,0,0,32,,,,,,,,,,,,,,
01.002.000300.4,8,0000000008_0000000001,pch,1,1,8,1,0,0,40,,,,,,,,,,,,,,
01.002.000300.4,8,0000000008_0000000002,pch,1,1,8,2,0,0,8,,,,,,,,,,,,,,
01.002.000300.4,8,0000000008_0000000003,pch,1,1,8,3,0,0,48,,,,,,,,,,,,,,
01.002.000300.5,9,0000000009_0000000001,pch,1,1,9,1,0,0,32,,,,,,,,,,,,,,
01.002.000300.5,9,0000000009_0000000002,pch,1,1,9,2,0,0,20,,,,,,,,,,,,,,
01.002.000300.5,9,0000000009_0000000003,pch,1,1,9,3,0,0,52,,,,,,,,,,,,,,
01.002.000400.1,10,0000000010_0000000001,pch,1,1,10,1,0,0,36,,,,,,,,,,,,,,
01.002.000400.1,10,0000000010_0000000002,pch,1,1,10,2,0,0,22,,,,,,,,,,,,,,
01.002.000400.1,10,0000000010_0000000003,pch,1,1,10,3,0,0,58,,,,,,,,,,,,,,
01.002.000400.2,11,0000000011_0000000001,pch,1,1,11,1,0,0,42,,,,,,,,,,,,,,
01.002.000400.2,11,0000000011_0000000002,pch,1,1,11,2,0,0,20,,,,,,,,,,,,,,
01.002.000400.2,11,0000000011_0000000003,pch,1,1,11,3,0,0,62,,,,,,,,,,,,,,
01.002.000400.3,12,0000000012_0000000001,pch,1,1,12,1,0,0,60,,,,,,,,,,,,,,
01.002.000400.3,12,0000000012_0000000002,pch,1,1,12,2,0,0,28,,,,,,,,,,,,,,
01.002.000400.3,12,0000000012_0000000003,pch,1,1,12,3,0,0,88,,,,,,,,,,,,,,
01.002.000400.4,13,0000000013_0000000001,pch,1,1,13,1,0,0,12,,,,,,,,,,,,,,
01.002.000400.4,13,0000000013_0000000002,pch,1,1,13,2,0,0,10,,,,,,,,,,,,,,
01.002.000400.4,13,0000000013_0000000003,pch,1,1,13,3,0,0,22,,,,,,,,,,,,,,
01.002.000400.5,14,0000000014_0000000001,pch,1,1,14,1,0,0,26,,,,,,,,,,,,,,
01.002.000400.5,14,0000000014_0000000002,pch,1,1,14,2,0,0,20,,,,,,,,,,,,,,
01.002.000400.5,14,0000000014_0000000003,pch,1,1,14,3,0,0,46,,,,,,,,,,,,,,
01.002.000400.6,15,0000000015_0000000001,pch,1,1,15,1,0,0,34,,,,,,,,,,,,,,
01.002.000400.6,15,0000000015_0000000002,pch,1,1,15,2,0,0,16,,,,,,,,,,,,,,
01.002.000400.6,15,0000000015_0000000003,pch,1,1,15,3,0,0,50,,,,,,,,,,,,,,
01.002.000400.7,16,0000000016_0000000001,pch,1,1,16,1,0,0,22,,,,,,,,,,,,,,
01.002.000400.7,16,0000000016_0000000002,pch,1,1,16,2,0,0,20,,,,,,,,,,,,,,
01.002.000400.7,16,0000000016_0000000003,pch,1,1,16,3,0,0,42,,,,,,,,,,,,,,
01.002.000400.8,17,0000000017_0000000001,pch,1,1,17,1,0,0,66,,,,,,,,,,,,,,
01.002.000400.8,17,0000000017_0000000002,pch,1,1,17,2,0,0,30,,,,,,,,,,,,,,
01.002.000400.8,17,0000000017_0000000003,pch,1,1,17,3,0,0,96,,,,,,,,,,,,,,
01.002.000400.9,18,0000000018_0000000001,pch,1,1,18,1,0,0,82,,,,,,,,,,,,,,
01.002.000400.9,18,0000000018_0000000002,pch,1,1,18,2,0,0,58,,,,,,,,,,,,,,
01.002.000400.9,18,0000000018_0000000003,pch,1,1,18,3,0,0,140,,,,,,,,,,,,,,
01.002.000500.1,19,0000000019_0000000001,pch,1,1,19,1,0,0,134,,,,,,,,,,,,,,
01.002.000500.1,19,0000000019_0000000002,pch,1,1,19,2,0,0,52,,,,,,,,,,,,,,
01.002.000500.1,19,0000000019_0000000003,pch,1,1,19,3,0,0,186,,,,,,,,,,,,,,
01.002.000500.2,20,0000000020_0000000001,pch,1,1,20,1,0,0,54,,,,,,,,,,,,,,
01.002.000500.2,20,0000000020_0000000002,pch,1,1,20,2,0,0,18,,,,,,,,,,,,,,
01.002.000500.2,20,0000000020_0000000003,pch,1,1,20,3,0,0,72,,,,,,,,,,,,,,
