year,sex,age,level1,level2,level3,level4,icd,total
1989,F,0,01,01.008,01.008.009700,01.008.009700.1,1919,2
1989,F,1,01,01.004,01.004.011500,01.004.011500.8,1890,2
1989,F,1,01,01.008,01.008.007000,01.008.007000.7,1890,2
1989,F,1,01,01.004,01.004.011300,01.004.011300.3,1910,2
1989,F,2,01,01.008,01.008.004500,01.008.004500.5,1890,2
1989,F,2,01,01.011,01.011.015700,01.011.015700.4,1913,2
1989,F,3,01,01.008,01.008.005500,01.008.005500.7,1919,2
1989,F,4,01,01.011,01.011.013900,01.011.013900.3,1890,6
1989,F,5,01,01.007,01.007.012200,01.007.012200.7,1914,2
1989,F,5,01,01.008,01.008.009700,01.008.009700.6,1917,2
1989,F,6,01,01.011,01.011.014600,01.011.014600.5,1916,2
1989,F,8,01,01.002,01.002.002300,01.002.002300.7,1916,2
1989,F,8,01,01.004,01.004.011900,01.004.011900.1,1917,2
1989,F,8,01,01.008,01.008.007600,01.008.007600.7,1919,2
1989,F,10,01,01.008,01.008.010700,01.008.010700.8,1910,2
1989,F,11,01,01.008,01.008.005400,01.008.005400.3,1919,2
1989,F,12,01,01.008,01.008.003700,01.008.003700.7,1911,2
1989,F,15,01,01.008,01.008.003900,01.008.003900.2,1919,2
1989,F,19,01,01.002,01.002.001900,01.002.001900.7,1890,2
1989,F,19,01,01.008,01.008.007800,01.008.007800.6,1911,2
1989,F,20,01,01.008,01.008.004500,01.008.004500.3,1910,2
1989,F,21,01,01.008,01.008.008700,01.008.008700.8,1749,2
1989,F,21,01,01.008,01.008.003900,01.008.003900.5,1919,2
1989,F,22,01,01.014,01.014.018500,01.014.018500.8,1749,2
1989,F,22,01,01.008,01.008.009700,01.008.009700.7,1913,2
1989,F,23,01,01.013,01.013.016100,01.013.016100.1,1749,2
1989,F,24,01,01.002,01.002.000300,01.002.000300.3,1749,2
1989,F,24,01,01.008,01.008.008700,01.008.008700.6,1749,2
1989,F,24,01,01.008,01.008.008800,01.008.008800.5,1919,2
1989,F,25,01,01.016,01.016.017000,01.016.017000.1,1741,2
1989,F,25,01,01.011,01.011.013500,01.011.013500.2,1744,2
1989,F,25,01,01.009,01.009.002900,01.009.002900.3,1749,2
1989,F,25,01,01.008,01.008.004600,01.008.004600.8,1919,2
1989,F,26,01,01.002,01.002.001300,01.002.001300.4,1741,2
1989,F,26,01,01.008,01.008.003700,01.008.003700.6,1744,2
1989,F,26,01,01.011,01.011.014200,01.011.014200.8,1744,2
1989,F,26,01,01.002,01.002.001500,01.002.001500.1,1746,2
